City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
New York City,New York,United States of America,42.99,49.9983333333333,42.25,55.931999999999995,50.285,53.4584,54.5926666666667,59.2364,61.458125,61.734578313253,66.4413953488372
"Washington, D.C.",District of Columbia,United States of America,35.0,48.0,49.28571428571429,45.8333333333333,47.0,56.332592592592604,59.1696666666667,64.2070833333333,64.92307692307689,69.14975,60.5904545454546
San Francisco,California,United States of America,41.6666666666667,42.5,36.5,48.5,47.0,55.2614285714286,53.0513793103448,58.77777777777779,63.246031746031704,67.3666666666667,68.98882352941179
Berlin,,Germany,30.8641975308642,38.6183574879227,20.5092592592593,30.0510204081633,32.5658819794076,27.1297095197009,26.470655011919604,32.4671253511379,36.43968115038211,33.922920251879,35.827083865576796
Los Angeles,California,United States of America,35.75,43.625,41.5,37.5,40.321,47.60647058823529,50.8416417910448,56.282881355932204,57.4841052631579,63.0148484848485,66.6902222222222
Bern,Canton of Bern,Switzerland,0.0,0.0,51.54639175257729,55.5555555555556,0.0,46.1836770668077,40.166873534684896,54.1572106457603,0.0,52.4813691139645,0.0
Geneva,Canton of Geneva,Switzerland,38.7931034482759,65.0980392156863,37.8006872852234,60.4166666666667,63.26576074849629,63.105940419531095,58.543649151841095,70.71957453636841,72.7667566021595,59.9162297384429,54.356531428773
Zurich,Canton of Zurich,Switzerland,56.8965517241379,56.76470588235289,45.876288659793794,49.8511904761905,50.40098017375811,52.00748484725221,50.0557916776369,61.4658551681452,59.3830018455115,52.2612298720911,60.53832776216189
Basel,,Switzerland,0.0,0.0,0.0,0.0,0.0,52.7057994006698,53.9334476032863,49.85901932466821,62.913866577767706,52.4359306991473,62.9147938239415
London,England,United Kingdom,21.4492753623188,34.8360655737705,30.036789297658895,29.1666666666667,33.4952269301625,33.7596703648101,36.4086321602771,34.0661036251274,42.7713020053012,39.56311768159429,38.7237177967666
Cairo,Cairo Governorate,Egypt,47.0,40.0,53.63005939796639,57.1324599708879,47.810221895382995,59.976402726795996,44.820881016612795,19.4798942160436,16.0659307614402,16.9671817948851,16.991410980552402
Alexandria,Alexandria Governorate,Egypt,0.0,0.0,0.0,50.9461426491994,44.762757385855,71.01031288236321,63.160463239296504,12.5024122625644,16.8321492675272,16.9854239621682,13.7207637965024
Alexandria,Virginia,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,58.25,0.0,70.1666666666667,82.0,67.4983333333333
Paris,Ile-de-France,France,37.037037037037,42.7518115942029,37.035914702581394,37.425029515938604,37.8067907556345,30.453655015981003,30.2872062663185,29.171771624601803,32.9944698785029,32.109051484905,29.123415659818804
Boston,Massachusetts,United States of America,51.6666666666667,30.0,52.75,56.12375,54.562857142857105,51.2758620689655,55.2924390243902,63.28921052631579,64.7735714285714,67.70290322580651,66.45192307692311
Toronto,Ontario,Canada,38.4615384615385,50.013745704467404,47.2865372168285,48.499336870026504,42.7718659787482,43.104173309949,43.3479993393375,46.309772425098295,51.6821534023556,48.4238893723935,52.469688348370106
Sao Paulo,Sao Paulo,Brazil,43.956043956044,56.78119349005421,41.0098522167488,35.8463136033229,31.233487314734997,24.3901455706248,21.742978099046802,30.378140653183497,30.158371067335402,27.851924631346396,21.516280067638696
Vilnius,,Lithuania,16.3283714153861,18.258653342466896,12.388405350464001,11.644482920620899,11.9222697521766,9.235980645233381,11.3655068679759,11.7903169627308,13.056536844563801,12.534792958576801,12.594998296543901
City of Brussels,,Belgium,0.0,50.362318840579704,42.239858906525605,47.2255017709563,52.2179888420193,39.5283290192695,45.15765126575089,48.0417701420836,50.7849014493882,49.3999069700339,48.8542309173946
Poznan,Greater Poland Voivodeship,Poland,0.0,23.631386861313896,13.6299435028249,17.3674434312732,15.873537685563099,12.0650581531459,12.0606643205175,13.6256426033181,15.608907982258401,11.7865753297633,14.3035812152323
Tashkent,,Uzbekistan,0.0,0.0,0.0,0.0,179.166666666667,0.0,0.0,0.0,35.0891650196053,61.5,33.5557142857143
Warsaw,Masovian Voivodeship,Poland,0.0,20.924574209245698,17.2808301570567,14.7054566507454,13.981644767214998,12.2239063049321,11.537943284758198,13.1682711344093,15.0668335845755,14.110285210708401,13.7168902275492
Modena,Emilia-Romagna,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.003731900283604,38.0707695900969,0.0,0.0
Singapore,,Singapore,30.4761904761905,32.255784865541,34.5005963029219,32.1765271765272,31.380819737365698,30.8022545301306,31.646039768129803,34.0672833847265,31.9883925556078,32.3798688905216,31.788169632977
Montreal,Quebec,Canada,34.6634615384615,47.766323024055005,42.6822006472492,43.5363247863248,44.4207533759773,42.057955994898,43.40800944739679,46.302908625595705,50.353772198948796,45.58206991305511,46.0545570862828
Cambridge,England,United Kingdom,0.0,0.0,0.0,29.797979797979803,0.0,40.8496732026144,33.1052554957053,33.4464194699286,41.0505220142266,45.2898550724638,45.327270356895596
Cologne,North Rhine-Westphalia,Germany,0.0,25.3623188405797,24.6913580246914,28.138528138528105,34.0182337733025,23.3029751062538,25.8826200476785,22.944189431258398,37.121919887889796,29.662629564127197,35.850514488284
Skopje,Greater Skopje,North Macedonia,0.0,10.1449275362319,14.0327812209426,15.305322870794802,15.5438983986748,11.8555022678725,13.5338379862305,16.6031133786888,19.817501278476602,16.473654028643598,20.3803440879522
Gdynia,Pomeranian Voivodeship,Poland,0.0,0.0,0.0,0.0,0.0,10.4600844240316,12.3679374286884,13.054935059723698,13.708328260350001,13.411299216118698,12.5470010659932
