,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
500,2020,1.0,Walmart,Retailing,General Merchandisers,523964.0,1.9,14881.0,123.1,236495.0,2200000,Bentonville,Arkansas,no,yes,no,no,https://fortune.com/company/walmart/global500/
501,2020,2.0,Sinopec Group,Energy,Petroleum Refining,407009.0,-1.8,6793.2,16.2,317515.7,582648,Beijing,,no,yes,no,no,https://fortune.com/company/sinopec-group/global500/
502,2020,3.0,State Grid,Energy,Utilities,383906.0,-0.8,7970.0,-2.5,596616.3,907677,Beijing,,no,yes,no,no,https://fortune.com/company/state-grid/global500/
503,2020,4.0,China National Petroleum,Energy,Petroleum Refining,379130.0,-3.5,4443.2,95.7,608085.6,1344410,Beijing,,no,yes,no,no,https://fortune.com/company/china-national-petroleum/global500/
504,2020,5.0,Royal Dutch Shell,Energy,Petroleum Refining,352106.0,-11.2,15842.0,-32.2,404336.0,83000,The Hague,,no,yes,no,yes,https://fortune.com/company/royal-dutch-shell/global500/
505,2020,6.0,Saudi Aramco,Energy,"Mining, Crude-Oil Production",329784.0,-7.3,88210.9,-20.5,398348.6,79000,Dhahran,,no,yes,no,yes,https://fortune.com/company/saudi-aramco/global500/
506,2020,7.0,Volkswagen,Motor Vehicles & Parts,Motor Vehicles & Parts,282760.0,1.6,15542.0,8.5,547810.9,671205,Wolfsburg,,no,yes,no,yes,https://fortune.com/company/volkswagen/global500/
507,2020,8.0,BP,Energy,Petroleum Refining,282616.0,-7.0,4026.0,-57.1,295194.0,72500,London,,no,yes,no,no,https://fortune.com/company/bp/global500/
508,2020,9.0,Amazon,Retailing,Internet Services and Retailing,280522.0,20.5,11588.0,15.0,225248.0,798000,Seattle,Washington,no,yes,no,yes,https://fortune.com/company/amazon-com/global500/
509,2020,10.0,Toyota Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,275288.0,1.0,19096.2,12.4,487465.9,359542,Toyota,,no,yes,no,no,https://fortune.com/company/toyota-motor/global500/
510,2020,11.0,Exxon Mobil,Energy,Petroleum Refining,264938.0,-8.7,14340.0,-31.2,362597.0,74900,Irving,Texas,no,yes,no,yes,https://fortune.com/company/exxon-mobil/global500/
511,2020,12.0,Apple,Technology,"Computers, Office Equipment",260174.0,-2.0,55256.0,-7.2,338516.0,137000,Cupertino,California,no,yes,no,yes,https://fortune.com/company/apple/global500/
512,2020,13.0,CVS Health,Health Care,Health Care: Pharmacy and Other Services,256776.0,32.0,6634.0,,222449.0,290000,Woonsocket,Rhode Island,no,yes,no,no,https://fortune.com/company/cvs-health/global500/
513,2020,14.0,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),254616.0,2.7,81417.0,1924.8,817729.0,391500,Omaha,Nebraska,no,yes,no,yes,https://fortune.com/company/berkshire-hathaway/global500/
514,2020,15.0,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,242155.0,7.0,13839.0,15.5,173889.0,325000,Minnetonka,Minnesota,no,yes,no,yes,https://fortune.com/company/unitedhealth-group/global500/
515,2020,16.0,McKesson,Health Care,Wholesalers: Health Care,231051.0,7.8,900.0,2547.1,61247.0,70000,Irving,Texas,no,yes,no,no,https://fortune.com/company/mckesson/global500/
516,2020,17.0,Glencore,Energy,"Mining, Crude-Oil Production",215111.0,-2.1,-404.0,-111.9,124076.0,88246,Baar,,no,no,no,yes,https://fortune.com/company/glencore/global500/
517,2020,18.0,China State Construction Engineering,Engineering & Construction,Engineering & Construction,205839.0,13.4,3333.0,5.5,294070.0,335038,Beijing,,no,yes,no,yes,https://fortune.com/company/china-state-construction-engineering/global500/
518,2020,19.0,Samsung Electronics,Technology,"Electronics, Electrical Equip.",197705.0,-10.8,18453.3,-53.7,304907.5,287439,Suwon,,no,yes,no,no,https://fortune.com/company/samsung-electronics/global500/
519,2020,20.0,Daimler,Motor Vehicles & Parts,Motor Vehicles & Parts,193346.0,-2.1,2660.5,-68.9,339456.4,298655,Stuttgart,,no,yes,no,no,https://fortune.com/company/daimler/global500/
520,2020,21.0,Ping An Insurance,Financials,"Insurance: Life, Health (stock)",184280.0,12.6,21626.7,33.2,1180488.5,372194,Shenzhen,,no,yes,no,no,https://fortune.com/company/ping-an-insurance/global500/
521,2020,22.0,AT&T,Telecommunications,Telecommunications,181193.0,6.1,13903.0,-28.2,551669.0,247800,Dallas,Texas,no,yes,no,no,https://fortune.com/company/att/global500/
522,2020,23.0,AmerisourceBergen,Health Care,Wholesalers: Health Care,179589.0,6.9,855.4,-48.4,39172.0,21500,Chesterbrook,Pennsylvania,no,yes,no,yes,https://fortune.com/company/amerisourcebergen/global500/
523,2020,24.0,Industrial & Commercial Bank of China,Financials,Banks: Commercial and Savings,177069.0,4.8,45194.5,0.4,4322528.4,445106,Beijing,,no,yes,no,no,https://fortune.com/company/industrial-commercial-bank-of-china/global500/
524,2020,25.0,TotalEnergies,Energy,Petroleum Refining,176249.0,-4.3,11267.0,-1.6,273294.0,107776,Courbevoie,,no,yes,no,yes,https://fortune.com/company/total/global500/
